,sentence,open_q,close_q,affirm,reflect,sd,b,sv,%,aa,ba,qy,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,"fo_o_fw_""_by_bc",na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,t1,bd,^g,qw^d,fa,ft
332,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
333,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
334,Good.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
335,Well I'm glad to hear that.,0,0,0,0,0.324603766,0.004490744,0.059339564,0.002454493,0.009490138,0.020125814,0.006303214,0.000829112,0.447485417,0.001351565,0.000574933,0.005528608,0.001040658,0.01247755,0.000164628,0.017348276,0.005201596,0.023715312,0.005237335,0.019201849,0.001565588,0.003247692,0.000426211,0.000301217,0.008405539,0.000728859,0.00136356,0.000207392,0.001395029,0.001253005,4.83E-05,0.007754601,0.001323624,0.002848577,0.000601924,0.000167713,0.000180027,3.94E-05,0.000375797,0.000117418,0.00068405
336,"
So as of.",0,0,0,0,0.538852453,0.001712467,0.327133268,0.038084663,0.00290006,0.002247332,0.011075902,0.000338795,0.001570208,0.002734126,0.000254637,0.000320061,0.006159307,0.015524196,0.0005265,0.002548721,0.021642517,0.00149047,0.002859289,0.001974838,0.006963319,0.003479645,0.000515133,0.001525412,0.000711546,0.000888714,0.001276564,0.000383423,0.000399275,0.00017862,0.000320083,0.000945672,0.000204864,0.000263739,0.000431197,0.000330189,0.000372048,0.0002204,0.000548893,3.49E-05,5.67E-05
337,"
Using a doughnut.",0,0,0,0,0.279482722,0.035255939,0.239375651,0.044291921,0.051979557,0.051653523,0.018802878,0.005811046,0.016229991,0.005759413,0.003354855,0.004356346,0.006260566,0.023973582,0.004254701,0.016220223,0.028126769,0.009896263,0.016695317,0.00946388,0.045390874,0.027665542,0.001731399,0.008757669,0.004272152,0.004166882,0.006113016,0.004838849,0.002874876,0.001572473,0.001697132,0.003655127,0.00268233,0.002800261,0.002783254,0.001845924,0.002388311,0.000767464,0.001738942,0.000501648,0.000510737
338,"
Okay, good.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
339,"
Is this better.",0,0,0,0,0.005146492,0.008406986,0.001604339,0.007210119,0.005101346,0.00287952,0.524243116,0.002463102,0.005814785,0.001976832,0.001691176,0.003850164,0.00066967,0.00700415,0.239305675,0.030040534,0.002578726,0.01018726,0.001823537,0.002609817,0.013218975,0.00185674,0.000930388,0.077167161,0.002796854,0.003447368,0.001887011,0.003980146,0.002882549,0.000268561,0.004518381,0.00132384,0.00176381,0.001842657,0.000484595,0.001751435,0.003493127,0.009398639,0.000374806,0.001215114,0.000790574
340,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
341,Are you generally having problems with hearing.,0,0,0,0,0.010447955,0.000241656,0.007682533,0.001574082,0.001233852,0.000369441,0.924991608,0.000405787,0.000861266,0.000604759,0.000195357,0.000112048,0.000148889,0.002187509,0.003581571,0.018718695,0.003900706,0.000881887,0.000370976,0.000417962,0.002910218,0.000737297,0.000164028,0.013820669,9.99E-05,0.0005922,0.000114638,0.00015095,0.000201323,9.48E-05,0.001178824,0.000143102,0.000171616,0.000129554,7.54E-05,4.51E-05,0.000128475,0.000190556,5.49E-05,1.40E-05,5.38E-05
342,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
343,Have you had that checked recently.,0,0,0,0,0.022865837,0.000368506,0.003679167,0.002536152,0.000753394,0.000433155,0.905399263,0.000485949,0.006328926,0.001666947,0.000181233,0.000438304,0.000212423,0.006916152,0.002044233,0.013505302,0.009102331,0.002486473,0.000321477,0.00414381,0.00262097,0.000733629,0.000192324,0.006500991,0.000421692,0.000727046,0.000230643,0.000172074,0.000466999,0.000183793,0.000723981,0.000690097,0.000408293,0.000741165,0.000112881,0.000105134,6.53E-05,0.000319479,7.73E-05,0.000117213,0.000520021
344,"Okay, got it.",0,0,0,0,0.357015908,0.036356989,0.201122016,0.05592281,0.043085936,0.033025637,0.016123205,0.005727064,0.017382191,0.007617894,0.002640777,0.0051748,0.007608357,0.022350013,0.003037998,0.018411722,0.032083038,0.009672921,0.015067406,0.009009415,0.030488521,0.023829585,0.001541917,0.00808765,0.005160464,0.00353886,0.005246358,0.002756262,0.002447397,0.001546124,0.001042553,0.003021714,0.002136651,0.002351497,0.001786341,0.00164558,0.001519295,0.000775721,0.001743941,0.000405628,0.000491881
345,"
Oh,
I can do that now.",0,0,0,0,0.639543056,0.005624029,0.184847593,0.008515358,0.035810173,0.03292615,0.007862669,0.001651071,0.004220378,0.000968459,0.000558736,0.000815866,0.011379361,0.005366455,0.000480461,0.020968279,0.003960489,0.002440039,0.007441753,0.003419786,0.004707252,0.001721484,0.000347294,0.005620131,0.001015186,0.000799458,0.001742095,0.00034749,0.002010548,0.000195705,0.000104459,0.000665247,0.000150468,0.000530403,0.000343669,0.000369011,0.00012692,5.44E-05,0.000272492,4.06E-05,3.54E-05
346,Let me call you back on your cell phone.,0,0,0,0,0.7878111,3.19E-05,0.006610433,8.42E-05,0.000106138,0.000142735,0.005156669,0.000306887,0.005142491,0.00048022,0.000165113,0.000390997,0.000515248,0.00204033,3.48E-05,0.140637696,0.000800884,0.004271832,0.000207167,0.026450185,0.001578888,0.000389002,0.000325759,0.000356729,0.003749509,0.000197761,0.000296716,1.46E-05,0.000275285,0.000851521,7.08E-05,0.000278068,0.000843376,0.00852975,2.68E-05,0.000472332,3.62E-05,1.74E-05,0.00016859,3.98E-05,9.41E-05
347,"No, this is your cell phone No, isn't it.",0,0,0,0,0.907307148,0.000243385,0.03414594,0.000530157,0.002395406,0.002025232,0.017143944,0.000507505,0.003297351,0.001367451,8.45E-05,0.000176042,0.000180911,0.003182436,0.000202641,0.012027794,0.005924264,0.001622104,0.000393032,0.002703239,0.001927896,0.000777787,0.000105677,0.000554887,0.000150953,0.000133767,0.000103848,4.72E-05,6.36E-05,0.000193395,2.78E-05,7.35E-05,0.000136638,9.88E-05,1.52E-05,6.89E-05,7.65E-06,6.67E-06,2.70E-05,1.13E-05,7.00E-06
348,"No, what is your cell phone number I don't think we have it.",0,0,0,0,0.687111557,0.001718334,0.15105325,0.00232525,0.011029609,0.008050734,0.04890915,0.002240307,0.00500208,0.035219975,0.000793286,0.000755258,0.001259511,0.003148983,0.000861113,0.01254484,0.004909862,0.003072539,0.000713514,0.003290292,0.000806288,0.001784096,0.004779564,0.005792485,0.000396971,0.000649291,0.000102608,0.000157708,0.000203385,0.000261048,2.28E-05,0.00010258,0.000151698,0.000115338,5.65E-05,0.000343753,1.58E-05,1.50E-05,0.000192427,2.36E-05,1.77E-05
349,What's your cell phone number.,0,0,0,0,0.854717195,0.001829939,0.030148502,0.001217949,0.003311111,0.005693768,0.016782781,0.002047405,0.008414879,0.001800505,0.000150348,0.001141113,0.000603603,0.015489794,0.000683032,0.005429703,0.016327107,0.005062612,0.000977592,0.005420199,0.010137678,0.008103716,0.000277677,0.000545205,0.000591486,0.000417229,0.000240172,0.000244613,0.00018599,0.000536805,3.20E-05,0.000237469,0.000461562,0.000285149,5.42E-05,0.000140523,2.54E-05,3.16E-05,0.000103257,5.71E-05,4.21E-05
350,I'll call you right back.,0,0,0,0,0.132353365,0.095218629,0.060778033,0.025679795,0.222194299,0.026233425,0.061868787,0.00835406,0.108160637,0.001764193,0.00299816,0.018885618,0.002444301,0.01878329,0.009553477,0.033134434,0.026874995,0.024687864,0.037639096,0.008360527,0.017009409,0.01231389,0.001754939,0.006827925,0.006169855,0.002028293,0.004321761,0.002504041,0.002532606,0.001863859,0.00120137,0.002007163,0.00302846,0.001791832,0.000921764,0.001097152,0.000378627,0.003575986,0.000778929,0.000503976,0.001421107
351,"Yes, I'm gonna call you back at 650-740-2643.",0,0,0,0,0.378326058,0.006299681,0.162618697,0.005600919,0.021199165,0.017308734,0.048485212,0.002330264,0.018146686,0.003593291,0.000617927,0.003086757,0.001777149,0.045721997,0.001352786,0.054235764,0.096254237,0.00816328,0.006325215,0.051820181,0.02817397,0.017493974,0.001253652,0.002737211,0.001727653,0.000986618,0.00148992,0.0009427,0.000986812,0.001034815,0.00077581,0.001577375,0.002459985,0.002358566,0.000785524,0.000248897,0.000226195,0.00014176,0.000764482,0.000188639,0.000381557
352,"Okay, we'll make sure we update your records we did not have your cell phone number.",0,0,0,0,0.983301282,8.70E-05,0.01073816,0.000266165,0.000643105,0.000427001,0.001553601,7.11E-05,0.000354624,4.53E-05,7.76E-06,3.24E-05,6.32E-05,0.00040037,1.13E-05,0.000900649,0.000282082,0.000160274,0.000220812,0.000103427,0.000131148,4.67E-05,1.93E-05,3.84E-05,1.38E-05,1.58E-05,1.06E-05,4.63E-06,1.38E-05,8.43E-06,2.15E-07,6.20E-06,1.13E-05,4.43E-06,6.43E-07,2.05E-06,2.67E-07,3.47E-07,2.02E-06,3.91E-07,2.55E-07
353,So in the future.,0,0,0,0,0.61868763,0.001213428,0.16366145,0.018868169,0.001786903,0.001558273,0.018741136,0.000228167,0.001432885,0.005755945,0.000215409,0.000586957,0.003224955,0.047063608,0.000537339,0.003198397,0.064711079,0.001667336,0.005680721,0.003502628,0.015742159,0.009120753,0.00090027,0.001275825,0.000648865,0.000754555,0.001933413,0.000499847,0.00051153,0.000265309,0.000890152,0.001529828,0.000354508,0.00035422,0.000473985,0.000425751,0.000380854,0.000283271,0.001133463,4.24E-05,0.000156514
354,"I want to clarify, it's preferred that you that I call your cell phone number because it's programmed to your hearing aid.",0,0,0,1,0.978273153,0.00020457,0.010104237,6.69E-05,0.000279811,0.000254336,0.000780072,3.72E-05,0.0010239,6.47E-06,7.61E-07,9.39E-05,1.04E-05,0.002464033,2.18E-06,0.001899042,0.000232786,0.003159554,4.63E-05,0.000817926,7.09E-05,2.51E-05,4.86E-06,1.20E-05,0.000100815,2.04E-06,3.27E-06,6.35E-07,3.76E-06,1.06E-06,1.28E-08,5.96E-06,5.24E-06,5.56E-06,1.78E-07,1.60E-07,9.52E-08,6.15E-08,7.48E-07,8.88E-08,1.46E-07
355,That is so slick.,0,0,0,0,0.202919126,0.006677982,0.33979401,0.063555151,0.183587432,0.054470591,0.015882485,0.000401441,0.003554135,0.001763474,0.001226776,0.000458666,0.006744489,0.006601086,0.001870612,0.007560581,0.026262207,0.005277023,0.027479056,0.000711944,0.004079661,0.00280976,0.000289095,0.006843732,0.001629642,0.007539858,0.002442928,0.001613609,0.001487487,0.0002376,0.002443196,0.001351614,0.000434418,0.00034785,0.002688152,0.001294576,0.004106014,0.000995475,0.000124325,6.78E-05,0.000374944
356,That's awesome.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
357,What's the name of the brand of the hearing aid that connects to your cell phone.,0,0,0,0,0.935194135,9.69E-05,0.057746202,0.000452203,0.000464473,0.000168875,0.001013924,7.91E-05,0.000467676,0.000995444,1.90E-05,7.10E-05,9.87E-05,0.000733138,1.14E-05,0.000210605,0.000763081,0.000106486,0.000455025,5.29E-05,0.000267031,0.000144254,6.83E-05,4.66E-05,4.56E-05,6.13E-05,4.46E-05,4.85E-06,2.29E-05,1.91E-05,6.99E-07,3.10E-05,1.61E-05,7.77E-06,1.61E-06,7.64E-06,1.86E-06,8.71E-07,6.97E-06,4.59E-07,2.85E-07
358,"What's the, the hearing aid that connects to your cell phone.",0,0,0,0,0.955383062,0.00011268,0.038942654,0.000206393,0.000640368,0.000191625,0.000530518,6.24E-05,0.000603307,3.31E-05,3.90E-06,2.16E-05,2.38E-05,0.00093298,5.35E-06,0.000157577,0.00076569,0.00013556,0.000191932,8.17E-05,0.000806955,7.47E-05,5.52E-06,2.16E-05,9.07E-06,1.61E-05,6.92E-06,3.08E-06,4.07E-06,2.60E-06,1.73E-07,6.46E-06,9.35E-06,3.74E-06,9.34E-07,6.60E-07,4.18E-07,1.12E-07,1.15E-06,1.70E-07,1.64E-07
359,"
No, I'm just wondering what's the brand of your hearing aid because I want to share that with other patients like you know the hearing aid you're using so that it can connect to their cell phone.",0,0,0,0,0.940362215,1.24E-05,0.058683783,1.65E-05,3.18E-05,1.88E-05,5.79E-05,5.16E-06,6.19E-05,7.59E-06,9.38E-08,3.21E-06,6.69E-06,0.000443598,2.26E-07,9.70E-06,0.000141445,3.03E-06,3.04E-05,2.31E-05,7.06E-05,1.58E-06,1.43E-06,4.39E-06,9.52E-07,2.26E-07,1.52E-07,3.47E-08,2.46E-07,2.12E-08,4.62E-10,1.19E-07,1.86E-07,1.72E-07,6.54E-09,8.45E-09,3.59E-09,1.17E-09,1.47E-07,4.76E-10,7.26E-10
360,"Okay, what type of cell phone Do you have.",0,0,0,0,0.786322236,0.002115859,0.052974395,0.002820372,0.005995885,0.003823412,0.034353878,0.003404565,0.003836385,0.035045773,0.000922827,0.002007459,0.001119049,0.010138344,0.001903148,0.005560888,0.012056301,0.002948261,0.002070901,0.002378507,0.00205917,0.008306088,0.006866486,0.004821971,0.000710043,0.001037839,0.000529817,0.000378599,0.000363374,0.000689477,2.95E-05,0.000260003,0.000333533,0.000232286,8.43E-05,0.000848242,4.96E-05,4.36E-05,0.00043316,9.83E-05,2.61E-05
361,Do you have an Apple phone.,0,0,0,0,0.00687839,0.000289486,0.001828723,0.001265934,0.000740355,0.000164742,0.950324237,0.000308725,0.000771795,0.005061131,0.000100453,0.000344,5.71E-05,0.003715406,0.002439038,0.005414733,0.006138305,0.000850345,0.000466456,0.000901315,0.002367164,0.001115338,0.000338643,0.004577295,0.000102466,0.000416387,0.000158999,0.000256999,0.000158941,0.000146241,0.000739285,0.000501085,0.000221619,0.000211179,7.90E-05,5.86E-05,0.000108016,0.000198339,7.09E-05,1.51E-05,9.77E-05
362,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
363,"Okay, I'm going to call you right back okay Jean.",0,0,0,0,0.343473375,0.01546124,0.24960348,0.004259867,0.043733735,0.007455762,0.030337602,0.00133853,0.073344238,0.002055728,0.000322071,0.012192165,0.001974208,0.01653643,0.00104949,0.107087173,0.017494939,0.011143442,0.001981492,0.027403669,0.014772612,0.003915789,0.000219715,0.004279563,0.001996665,0.00033801,0.000718363,0.000164769,0.00082591,0.000139094,7.65E-05,0.000442121,0.001555256,0.001047503,0.000162144,9.78E-05,0.000375355,9.28E-05,0.000393602,1.98E-05,0.000117965
364,You're welcome.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
365,Bye.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
366,"Yes, hi Jean de me again.",0,0,0,0,0.582528949,0.012763742,0.042125732,0.028882656,0.023985336,0.03182552,0.03463953,0.019418463,0.130856007,0.001353538,0.000672377,0.002677324,0.001076063,0.001162083,0.000110965,0.006438658,0.004062861,0.019759625,0.000576558,0.000919206,0.000667695,0.007697334,0.000236325,6.41E-05,0.001170642,0.000415459,0.000490504,5.83E-05,0.000400032,0.041912585,4.47E-06,0.000588426,7.08E-05,0.000155218,0.000104031,3.40E-05,7.73E-06,2.01E-06,2.17E-05,2.95E-05,3.39E-05
367,"
Hi.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
368,"
How's it working.",0,0,0,0,0.206146568,0.040019576,0.235776365,0.050283924,0.077841647,0.040736489,0.018429076,0.006669351,0.02793186,0.009865466,0.004244308,0.004767844,0.010949854,0.020728391,0.006969562,0.021579418,0.033679128,0.013831045,0.021706408,0.014285064,0.032077685,0.020468753,0.002857873,0.018702028,0.007859339,0.006607874,0.00504935,0.004675603,0.003402281,0.002021771,0.002172495,0.005381692,0.003430416,0.003246238,0.003651311,0.003108249,0.003533741,0.00131344,0.002307208,0.00073421,0.000957061
369,Can you hear better.,0,0,0,0,0.024091225,0.00286603,0.023973696,0.005269777,0.002844038,0.009175387,0.352116585,0.001559579,0.019788833,0.002313979,0.000902041,0.002342795,0.000916571,0.032097735,0.023426563,0.177176028,0.014223343,0.039734323,0.000393497,0.149716005,0.008606871,0.003090816,0.003867262,0.055757508,0.001836892,0.001793208,0.000518811,0.00553866,0.000760765,0.000819033,0.004738187,0.00210974,0.004229745,0.012283952,0.001447104,0.000520881,0.001645844,0.000852041,0.001547091,0.001622547,0.001484981
370,"
That's good yeah
it does sound like it.",0,0,0,0,0.145236015,0.025147062,0.306259125,0.004254804,0.123616733,0.356474727,0.007838051,0.007172393,0.004967183,0.00014525,0.00015365,0.000381496,0.000343449,0.004554359,0.000304422,0.001539507,0.004379471,0.001683105,0.000863788,0.000539502,0.000974475,0.001714694,8.25E-05,0.000210265,0.000511257,0.00013344,6.44E-05,6.28E-05,1.00E-04,3.65E-05,1.89E-06,7.00E-05,2.18E-05,4.19E-05,6.58E-05,2.31E-05,1.26E-05,4.46E-06,6.43E-06,1.64E-06,6.21E-06
371,Yay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
372,"Okay, so my question for you is, I think this is really cool technology where your hearing aid connects to your cell phone.",0,0,0,0,0.860875726,0.000278301,0.122989275,0.000536678,0.001865645,0.001723639,0.002958903,0.000187128,0.001264727,0.001292114,2.50E-05,0.000101867,0.000119424,0.000512635,1.97E-05,0.00135074,0.000556877,0.000168319,0.000360803,0.001368136,8.85E-05,5.97E-05,0.000247432,0.000776234,7.49E-05,4.88E-05,4.91E-06,9.33E-06,2.57E-05,8.10E-06,6.90E-07,2.66E-05,2.48E-05,2.27E-05,2.04E-06,4.65E-06,7.62E-07,3.02E-07,1.71E-05,6.16E-07,4.21E-07
373,So can you tell me what hearing aid Do you use.,0,0,0,0,0.09262298,0.000492261,0.04019032,0.003196464,0.000421206,0.002540899,0.067659326,0.002002437,0.019453099,0.004337236,0.000470515,0.008283169,0.001930717,0.01034683,0.000307002,0.035059236,0.005523247,0.025464369,0.001115342,0.587026179,0.012456545,0.004081748,0.007908714,0.008739431,0.010607664,0.001002953,0.00047809,0.000202375,0.001343621,0.000289054,8.96E-05,0.002635913,0.002394115,0.036091324,0.000590151,0.000309414,0.000322327,3.40E-05,0.001794679,7.78E-05,0.000107695
374,"
Do you think you can.",0,0,0,0,0.00408783,0.00139731,0.005857154,0.003053623,0.004868772,0.000570711,0.893141091,0.000566283,0.00280446,0.000433923,0.000617588,0.000362345,0.000140337,0.003264587,0.034514587,0.012552724,0.00414123,0.001759795,0.001414355,0.001497361,0.002991716,0.000407491,0.001202905,0.00950304,0.000431268,0.001178849,0.000622372,0.000776097,0.000371861,0.00012949,0.001950434,0.000423693,0.000574565,0.00019903,0.000292649,9.70E-05,0.000330107,0.001052412,0.000135601,5.31E-05,0.000230123
375,"
Can you get the name.",0,0,0,0,0.041866951,0.001330737,0.039492514,0.008060296,0.002179718,0.003519353,0.388965636,0.001214851,0.006516439,0.005701949,0.000423298,0.000922031,0.001358702,0.033329267,0.005206054,0.195479214,0.047939707,0.011420573,0.000342414,0.092339605,0.013214964,0.003060222,0.003525018,0.070362531,0.000928202,0.001320423,0.000302224,0.001675946,0.000538336,0.000508596,0.003664494,0.001425039,0.00168758,0.004927867,0.001153128,0.000378384,0.000726023,0.000328687,0.001317054,0.000540469,0.000805558
376,"Will you be able to give me the name and model of the hearing aid and send that to me, so that I can share that with other patients.",0,0,0,0,0.275155008,5.11E-05,0.302003086,0.000686924,0.000405268,0.000175401,0.339055061,7.27E-05,0.001086926,0.000380064,7.39E-05,1.87E-05,0.000341091,0.000265182,0.00027799,0.042580802,0.002598802,0.000815135,0.000265834,0.006425809,0.00144858,8.50E-05,6.27E-05,0.0243231,7.89E-05,0.000192028,1.52E-05,1.61E-05,9.88E-05,6.80E-06,0.000499209,0.000134911,4.47E-05,0.000194143,1.44E-05,1.43E-05,8.70E-06,7.02E-06,1.11E-05,7.42E-06,2.19E-06
377,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
378,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
379,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
380,Was it expensive or did your insurance cover it.,0,0,0,0,0.005582869,4.99E-05,0.001614123,0.00047319,0.000190528,6.47E-05,0.972817481,0.00041695,0.00012283,0.000387514,3.89E-05,0.000105931,2.75E-05,0.001563748,0.002979893,0.002374149,0.004189545,0.000158555,0.000216121,0.000388052,0.000781797,0.000274107,0.000206556,0.001203319,7.80E-05,0.000403771,0.000256329,0.000465372,0.000223793,9.42E-05,0.00089193,0.000320762,0.000276251,0.000190802,0.000111318,4.06E-05,6.37E-05,0.000247705,3.52E-05,2.40E-05,4.80E-05
381,How much was it.,0,0,0,0,0.051226921,0.004240175,0.009641311,0.014739227,0.003478427,0.022866761,0.00639448,0.001380814,0.006092125,0.560378253,0.004209457,0.003984448,0.003476028,0.002764231,0.011097213,0.013891166,0.00610731,0.004844404,0.010971436,0.006365245,0.011950128,0.018097565,0.063106313,0.025152117,0.012187832,0.003722972,0.002552227,0.014872316,0.006288148,0.009957642,0.004343991,0.007415229,0.01137044,0.002549626,0.005850975,0.036137193,0.003979359,0.002231621,0.005576984,0.001262142,0.003245699
